time_stamp,px_state,py_state,v_state,yaw_angle_state,yaw_rate_state,sensor_type,NIS,px_measured,py_measured,px_ground_truth,py_ground_truth,vx_ground_truth,vy_ground_truth,std_px_est,std_py_est,std_v_est,std_yaw_est,std_yaw_rate_est,RMSE_acc_px,RMSE_acc_py,RMSE_acc_vx,RMSE_acc_vy,ax_calc,ay_calc,delta t
1477010443000000,0.312243,0.58034,0,0,0,lidar,0,0.312243,0.58034,0.6,0.6,5.19994,0,1,1,1,1,1,0.287757,0.0196602,5.19994,0,,,
1477010443050000,0.735292,0.629424,7.20493,-4.36387e-017,-5.18795e-017,radar,74.6446,0.862916,0.534212,0.859997,0.600045,5.19975,0.00179686,0.757026,0.648523,0.546004,1.00125,1.00125,0.221761,0.0249965,3.94082,0.00127057,0.003799999999998,-0.0359372,0.05
1477010443100000,1.1605,0.49494,7.20802,-0.127184,-0.0118688,lidar,0.220945,1.17385,0.481073,1.11998,0.600225,5.19943,0.00538996,0.146579,0.145529,0.547194,0.948082,1.00201,0.182572,0.064121,3.40901,0.530969,0.006399999999989,-0.071862,0.05
1477010443150000,1.25799,0.533093,7.19319,0.122653,0.0307136,radar,1.82505,0.969149,0.397513,1.37996,0.600629,5.19898,0.0107781,0.130919,0.061883,0.540064,0.406908,0.995268,0.169464,0.0649915,3.10758,0.632738,0.009000000000015,-0.1077628,0.05
1477010443200000,1.61584,0.595357,7.20672,0.161502,0.0463963,lidar,0.167274,1.65063,0.62469,1.6399,0.601347,5.19839,0.0179597,0.103224,0.101092,0.538664,0.317534,0.991306,0.151955,0.0581918,2.9084,0.761978,0.011799999999997,-0.143632,0.05
1477010443250000,1.85112,0.56196,6.00794,0.0256271,-0.234011,radar,7.66154,1.62331,0.499091,1.89982,0.60247,5.19766,0.0269323,0.0949766,0.0641399,0.285616,0.120297,0.971784,0.140133,0.0556364,2.67542,0.697517,0.014599999999998,-0.179452,0.05
1477010443300000,2.16288,0.591356,6.00761,0.0402697,-0.178005,lidar,0.253517,2.18882,0.648739,2.1597,0.604086,5.19678,0.0376932,0.081999,0.0796099,0.285556,0.131962,0.963481,0.129743,0.0517335,2.49562,0.65037,0.017599999999991,-0.215218,0.05
1477010443350000,2.37876,0.637349,5.60176,0.0564996,-0.338651,radar,6.22704,1.96701,0.557117,2.41954,0.606284,5.19573,0.0502389,0.0801375,0.0651337,0.21912,0.114768,0.869439,0.122217,0.049623,2.33865,0.615596,0.021000000000004,-0.250914,0.05
1477010443400000,2.65588,0.654514,5.59928,0.0452566,-0.317229,lidar,0.00805294,2.65526,0.66598,2.67932,0.609155,5.1945,0.0645654,0.0734994,0.0783067,0.218764,0.138676,0.83666,0.115492,0.0491675,2.20891,0.58379,0.02460000000001,-0.28653,0.05
1477010443450000,2.92235,0.648156,5.53358,-0.00227934,-0.469376,radar,0.401544,2.92034,0.645898,2.93904,0.612786,5.19309,0.080668,0.0727305,0.0708776,0.185983,0.126688,0.688924,0.109692,0.0479667,2.09832,0.554617,0.028199999999998,-0.322052,0.05
1477010443500000,3.15809,0.643866,5.4892,-0.0156173,-0.434828,lidar,1.19453,3.01222,0.637046,3.19869,0.617267,5.19147,0.0985415,0.0683171,0.0843126,0.186048,0.139448,0.634934,0.105302,0.0464323,2.00268,0.531717,0.032399999999999,-0.35747,0.05
1477010443550000,3.4437,0.539844,5.52254,-0.164378,-0.85115,radar,1.27296,3.56096,0.485311,3.45825,0.622685,5.18963,0.11818,0.068125,0.0779966,0.167177,0.120539,0.498389,0.100906,0.0504797,1.91887,0.588373,0.036799999999992,-0.39277,0.05
