time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth	std_px_est	std_py_est	std_v_est	std_yaw_est	std_yaw_rate_est	RMSE_acc_px	RMSE_acc_py	RMSE_acc_vx	RMSE_acc_vy
1477010443000000	0.312243	0.58034	0	0	0	lidar	0	0.312243	0.58034	0.6	0.6	5.19994	0	1	1	1	1	1	0.287757	0.0196602	5.19994	0
1477010443050000	0.735292	0.629424	7.20493	-1.27365e-018	-3.01203e-017	radar	74.6446	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686	0.757026	0.648523	0.546004	1.00125	1.00008	0.221761	0.0249965	3.94082	0.00127057
1477010443100000	1.1605	0.49494	7.20802	-0.127183	-0.0118484	lidar	0.220944	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996	0.146579	0.145529	0.547194	0.948075	0.999674	0.182572	0.064121	3.40901	0.530965
1477010443150000	1.25799	0.533094	7.19318	0.122639	0.0305653	radar	1.82505	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781	0.130919	0.0618829	0.540064	0.406898	0.991786	0.169464	0.0649914	3.10759	0.6327
1477010443200000	1.61584	0.595354	7.20672	0.161483	0.0461637	lidar	0.167282	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597	0.103223	0.101089	0.538663	0.317501	0.986683	0.151955	0.0581918	2.9084	0.761912
1477010443250000	1.85112	0.561958	6.00775	0.0257217	-0.231612	radar	7.66345	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323	0.0949758	0.0641395	0.285606	0.120204	0.96618	0.140133	0.0556367	2.67541	0.697475
1477010443300000	2.16288	0.591378	6.00744	0.0404165	-0.176199	lidar	0.253338	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932	0.0819986	0.079591	0.28555	0.131649	0.956798	0.129744	0.051733	2.4956	0.65037
1477010443350000	2.37872	0.637405	5.60116	0.0569136	-0.334356	radar	6.23184	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389	0.0801354	0.0651199	0.219022	0.114385	0.862933	0.122219	0.0496269	2.33862	0.61572
1477010443400000	2.65585	0.654654	5.59874	0.0457793	-0.313436	lidar	0.0078498	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654	0.0734972	0.0782328	0.21869	0.138086	0.829218	0.115495	0.0491853	2.20887	0.584011
1477010443450000	2.9223	0.648332	5.53276	-0.00157761	-0.464617	radar	0.405122	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668	0.0727269	0.0708302	0.185864	0.126227	0.681896	0.109696	0.0479962	2.09827	0.554762
1477010443500000	3.15804	0.644137	5.48848	-0.0148706	-0.430837	lidar	1.1939	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415	0.0683168	0.0842082	0.185965	0.13886	0.626559	0.105306	0.0464742	2.00262	0.531727
1477010443550000	3.44364	0.540216	5.52138	-0.163258	-0.844789	radar	1.28431	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818	0.068124	0.0779421	0.167063	0.12009	0.489118	0.100911	0.0504642	1.91881	0.587473
1477010443600000	3.74682	0.427941	5.58896	-0.282365	-1.06791	lidar	2.09996	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576	0.0643858	0.0877437	0.167991	0.123053	0.438045	0.0972878	0.0739214	1.84421	0.734882
1477010443650000	4.02751	0.51212	5.55089	-0.145646	-0.5468	radar	4.13759	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724	0.0645974	0.0797365	0.162195	0.0979077	0.318662	0.0947127	0.0786286	1.77902	0.753959
1477010443700000	4.30135	0.504165	5.53243	-0.138647	-0.463932	lidar	0.368908	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614	0.062187	0.085804	0.162349	0.0978166	0.287799	0.093029	0.0842677	1.7204	0.768768
1477010443750000	4.56179	0.540494	5.44629	-0.0977871	-0.325492	radar	2.05915	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238	0.0625918	0.0858164	0.15197	0.0905935	0.246235	0.0915904	0.0865093	1.66686	0.767363
1477010443800000	4.75086	0.647237	5.28101	0.00276434	-0.0830255	lidar	12.8586	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587	0.060747	0.0880385	0.153122	0.0872347	0.219292	0.0888598	0.084062	1.61729	0.746502
1477010443850000	5.00293	0.645963	5.21086	-0.00537348	-0.091396	radar	1.85254	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649	0.0612536	0.0888225	0.141716	0.083279	0.195131	0.0863898	0.082082	1.57175	0.728922
1477010443900000	5.30313	0.642928	5.26304	-0.0120356	-0.0951389	lidar	2.46109	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413	0.0597665	0.0881188	0.144954	0.0787336	0.173397	0.0843934	0.0807552	1.52998	0.714479
1477010443950000	5.56124	0.650308	5.28584	-0.00668379	-0.0769538	radar	1.74778	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868	0.0603875	0.0904123	0.136591	0.0761825	0.157463	0.0825502	0.0798452	1.49149	0.701371
1477010444000000	5.85457	0.666671	5.32045	0.00149381	-0.0573427	lidar	1.58155	6.022	0.708619	5.78828	0.728072	5.15932	0.372999	0.0590503	0.0881892	0.140845	0.0710189	0.139958	0.0818492	0.0790645	1.45597	0.689088
1477010444050000	6.09718	0.593598	5.2518	-0.0509404	-0.135346	radar	3.67303	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793	0.0597462	0.0916372	0.133573	0.0695502	0.129541	0.0807033	0.0839389	1.42262	0.688552
1477010444100000	6.35251	0.706439	5.2253	0.0223857	-0.0161162	lidar	3.98821	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233	0.0584695	0.0879279	0.138455	0.0642745	0.11564	0.0795804	0.0831271	1.39144	0.67695
1477010444150000	6.60316	0.737215	5.18488	0.0363118	0.00476823	radar	0.631264	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305	0.0592152	0.0917301	0.131692	0.0635897	0.108887	0.0783764	0.0821563	1.36217	0.665522
1477010444200000	6.85012	0.736578	5.17084	0.0310478	-0.00257575	lidar	0.272877	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999	0.0581186	0.0870272	0.136989	0.0585934	0.0980783	0.0770598	0.0821266	1.33467	0.656249
1477010444250000	7.09352	0.720261	5.08898	0.0165103	-0.021625	radar	2.96582	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269	0.058905	0.091212	0.130608	0.0584734	0.0937626	0.0756535	0.0841984	1.30877	0.650619
1477010444300000	7.31343	0.803221	5.04105	0.0586722	0.0329291	lidar	3.23858	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123	0.0578417	0.0859176	0.13614	0.0538868	0.0854236	0.0743154	0.0837831	1.28441	0.641467
1477010444350000	7.60461	0.813944	5.14637	0.0576136	0.0293775	radar	4.35995	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531	0.0586573	0.0901717	0.129898	0.0541766	0.0827641	0.0730548	0.0841497	1.26128	0.63374
1477010444400000	7.85426	0.79453	5.13775	0.0419696	0.00946961	lidar	0.489104	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469	0.0576683	0.0848022	0.135591	0.0499984	0.0763197	0.0718203	0.0870962	1.23936	0.629517
1477010444450000	8.10424	0.811639	5.08134	0.0451283	0.0122143	radar	2.37488	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915	0.0585055	0.0896105	0.129555	0.0505826	0.0747836	0.0706262	0.0909057	1.21853	0.62653
1477010444500000	8.34134	0.82992	5.06011	0.0493848	0.016382	lidar	0.463369	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843	0.0575328	0.0839043	0.135313	0.0467544	0.069766	0.0694997	0.0956038	1.19872	0.624583
1477010444550000	8.60971	0.912591	5.1492	0.0827633	0.0516062	radar	7.1038	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226	0.0583836	0.0887256	0.129329	0.0475498	0.0690125	0.0684108	0.0976448	1.1799	0.619638
1477010444600000	8.84684	0.97082	5.1255	0.102339	0.0695425	lidar	0.931566	8.74615	1.04858	8.85775	1.10473	5.05216	0.919037	0.0574601	0.0830251	0.135131	0.0440596	0.0651057	0.0673931	0.0989393	1.16191	0.614047
1477010444650000	9.13573	1.00708	5.18311	0.108995	0.0724959	radar	6.7461	9.8809	1.1419	9.1101	1.15208	5.03798	0.974245	0.0583328	0.0880713	0.129125	0.0450194	0.0649005	0.0665399	0.100596	1.14487	0.609031
1477010444700000	9.37271	1.0417	5.15702	0.115845	0.0759122	lidar	0.717547	9.25579	1.04913	9.36172	1.20223	5.0228	1.03082	0.0574275	0.0822978	0.134973	0.0418233	0.0618313	0.0656088	0.102794	1.12852	0.604749
1477010444750000	9.65187	1.10882	5.20894	0.134208	0.0901075	radar	4.65263	10.1016	1.52474	9.61255	1.25524	5.00656	1.08873	0.0583152	0.0874853	0.129016	0.0429193	0.0620158	0.0650223	0.104253	1.11304	0.599854
1477010444800000	9.92539	1.23151	5.23858	0.17378	0.124006	lidar	3.63497	10.0484	1.44598	9.86254	1.31118	4.98922	1.14794	0.0574212	0.0816488	0.134886	0.0399937	0.0595842	0.0649643	0.103665	1.09825	0.59303
1477010444850000	10.1755	1.31168	5.17959	0.194548	0.138347	radar	5.02498	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841	0.0583319	0.0869968	0.128998	0.041194	0.0600285	0.0649351	0.10273	1.08385	0.586138
1477010444900000	10.4012	1.39375	5.14793	0.21494	0.151366	lidar	1.49535	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701	0.0574562	0.0810123	0.134875	0.0385232	0.0580836	0.0644385	0.10159	1.06994	0.579231
1477010444950000	10.6351	1.4678	5.05836	0.231498	0.160565	radar	4.2929	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298	0.0583861	0.0862133	0.129083	0.0398117	0.0587098	0.063784	0.10042	1.05648	0.572594
1477010445000000	10.8602	1.50831	5.02775	0.233598	0.155254	lidar	1.04074	10.7313	1.45265	10.853	1.56549	4.90794	1.39701	0.0575024	0.0801649	0.134939	0.0374219	0.0571622	0.0630114	0.0995891	1.04352	0.566739
1477010445050000	11.1255	1.55752	5.06933	0.236168	0.150107	radar	1.7361	11.4783	1.42876	11.0979	1.637	4.8844	1.46213	0.058447	0.0852456	0.129195	0.0388113	0.0579313	0.062402	0.0991576	1.03105	0.561569
1477010445100000	11.4032	1.61281	5.10919	0.239958	0.146406	lidar	1.75915	11.587	1.61462	11.3416	1.71179	4.85948	1.52832	0.0575449	0.0794208	0.135016	0.0366601	0.0566628	0.0623843	0.0991535	1.01911	0.557063
1477010445150000	11.6352	1.66674	5.0615	0.245871	0.145468	radar	0.843962	11.4763	1.53917	11.584	1.78992	4.83313	1.59551	0.05851	0.084737	0.129284	0.0381485	0.0575335	0.0621525	0.0997641	1.00753	0.553417
